source_gt,program,code,name_th,name_en,year,semester,pages
หมวดศึกษาทั่วไป (general_education),AIT,90642031,จริยธรรมและกฎหมายแห่งวิชาชีพ,PROFESSIONAL ETHICS AND LAWS,,,ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642032,กฎหมายสำหรับผู้ประกอบการ,LAW FOR ENTREPRENEURS,,,ocr122;ocr153;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,,,ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642034,กฎหมายและระเบียบในอุตสาหกรรมการบิน,LAW AND REGULATION IN AVIATION INDUSTRY,,,ocr153;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642035,ประสบการณ์ในอุตสาหกรรมสำหรับวิศวกร,INDUSTRIAL EXPERIENCE FOR ENGINEERS,,,ocr154;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642036,เตรียมความพร้อมสำหรับวิศวกร,PRE-ACTIVITIES FOR ENGINEERS,,,ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642037,ประเด็นและทักษะวิชาชีพ,PROFESSIONAL SKILLS AND ISSUES,,,ocr122;ocr154
หมวดศึกษาทั่วไป (general_education),AIT,90642038,ความปลอดภัยในที่ทำงาน,OCCUPATIONAL SAFETY AND HEALTH,,,ocr122;ocr155
หมวดศึกษาทั่วไป (general_education),AIT,90642040,คอกาแฟ,COFFEE MANIA,,,ocr122;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642041,ครัวเด็กหอ,DORM CHEF,,,ocr123;ocr156;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642042,ศาสตร์และศิลป์ของเนื้อสัตว์,SCIENCE AND ART OF MEATS,,,ocr123;ocr156
หมวดศึกษาทั่วไป (general_education),AIT,90642043,ศาสตร์ของเบอร์เกอร์,SCIENCE OF BURGER,,,ocr123;ocr156;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642044,โลกของไส้กรอก,WORLD OF SAUSAGES,,,ocr123;ocr156;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642045,เรื่องเหล้า,BE MY BEV.,,,ocr123
หมวดศึกษาทั่วไป (general_education),AIT,90642046,ไร้ซ์-สาระ,RICE-SARA,,,ocr123
หมวดศึกษาทั่วไป (general_education),AIT,90642047,หมอต้นไม้,TREE DOCTOR,,,ocr157;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642048,ยาและสมุนไพรพาเพลิน,FUN WITH DRUGS AND HERBS,,,ocr158;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642049,การใช้ประโยชน์จากจุลินทรีย์ในชีวิตประจำวัน,MICROBIAL UTILIZATION FOR DAILY LIFE,,,ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642050,พืชพรรณที่เป็นยา,MEDICINAL PLANTS,,,ocr159
หมวดศึกษาทั่วไป (general_education),AIT,90642051,เทคโนโลยีชีวภาพเพื่อความเป็นอยู่ที่ดีขึ้น,BIOTECHNOLOGY FOR BETTER LIVING,,,ocr159;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642052,จากเส้นสาย DNA สู่พันธุกรรม,GENES & GENETICS : FROM HELIX TO HEREDITARY,,,ocr159
หมวดศึกษาทั่วไป (general_education),AIT,90642053,สาระน่ารู้อณูพันธุศาสตร์,INTERESTING MOLECULAR GENETICS,,,ocr160;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642054,สิ่งพิทักษ์ร่างกาย,GUARDIANS OF OUR BODIES,,,ocr160;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642055,จุลินทรีย์ร่วมชีพ,LIVING WITH MICROBES,,,ocr123;ocr160
หมวดศึกษาทั่วไป (general_education),AIT,90642056,โรคระบาดในศตวรรษที่ 21,EPIDEMICS IN THE 21st CENTURY,,,ocr123;ocr161;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642057,ภูมิคุ้มกาย,IMMUNITY THROUGH MEDIA,,,ocr124;ocr161
หมวดศึกษาทั่วไป (general_education),AIT,90642058,ความเข้าใจในนโยบายสุขภาพและสวัสดิภาพของประชาชน,UNDERSTANDING HEALTH POLICY AND PUBLIC WELFARE,,,ocr124;ocr161
หมวดศึกษาทั่วไป (general_education),AIT,90642059,การแพทย์และวรรณกรรม,MEDICINE AND LITERATURE,,,ocr124;ocr162;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642060,ค้นหาตัวตน,SELF-DISCOVERY,,,ocr124
หมวดศึกษาทั่วไป (general_education),AIT,90642061,โลกของแมลง,WORLD OF INSECTS,,,ocr162;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642062,เรื่ื่องกินเรื่องใหญ่,ALL ABOUT FOOD,,,ocr124;ocr163
หมวดศึกษาทั่วไป (general_education),AIT,90642063,การพัฒนาสุขภาพแบบองค์รวม,HOLISTIC HEALTH DEVELOPMENT,,,ocr124;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642074,อีสปอร์ต,E-SPORTS,,,ocr163
หมวดศึกษาทั่วไป (general_education),AIT,90642080,การประพันธ์เพลงเบื้องต้น,INTRODUCTION TO MUSIC COMPOSITION,,,ocr164
หมวดศึกษาทั่วไป (general_education),AIT,90642081,สุนทรียะเพลงแรป,RAP APPRECIATION,,,ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642082,สุนทรียะดนตรี,MUSIC APPRECIATION,,,ocr164
หมวดศึกษาทั่วไป (general_education),AIT,90642083,ศิลปะแห่งภาพยนต์,FILM APPRECIATION,,,ocr165
หมวดศึกษาทั่วไป (general_education),AIT,90642084,สุนทรียะภาพถ่าย,PHOTOGRAPHY APPRECIATION,,,ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642085,วัฒนธรรมร่วมสมัย,CONTEMPORARY CULTURE,,,ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642086,วัฒนธรรมการออกแบบเบื้องต้น,INTRODUCTION TO DESIGN CULTURE,,,ocr124;ocr165;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642087,วัฒนธรรมรอบโลก,WORLD CULTURE,,,ocr124;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642088,วัฒนธรรมจีนดั้งเดิม,TRADITIONAL CHINESE CULTURE,,,ocr125;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642089,สังคม เศรษฐกิจ และการเมืองจีน,"CHINESE SOCIETY, ECONOMY AND POLITICS",,,ocr125;ocr155;ocr166;ocr240
หมวดศึกษาทั่วไป (general_education),AIT,90642090,เจาะลึกประเด็นโลก,GLOBAL INSIDE,,,ocr125;ocr167;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642091,เอเชียนศึกษา,ASIAN STUDY,,,ocr125
หมวดศึกษาทั่วไป (general_education),AIT,90642092,การศึกษาเพื่อสร้างพลเมือง,CIVIC EDUCATION,,,ocr125
หมวดศึกษาทั่วไป (general_education),AIT,90642093,สานสัมพันธ์กับชุมชน,COMMUNITY ENGAGEMENT,,,ocr125;ocr167;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642094,หลักการพัฒนาชุมชน,PRINCIPLES OF COMMUNITY DEVELOPMENT,,,ocr168;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642095,การพัฒนาตวามมั่นคงแห่งชาติ,NATIONAL SECURITY DEVELOPMENT,,,ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642096,วิทยาการทางทหาร,MILITARY SCIENCE,,,ocr125;ocr168;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642097,ภูมิปัญญาไทยประยุกต์,APPLIED THAI WISDOMS,,,ocr169;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642099,สังคมสูงวัยเชิงรุก,ACTIVE AGING SOCIETY,,,ocr169
หมวดศึกษาทั่วไป (general_education),AIT,90642102,นักสื่อสารผ่านยูทูบ,YOUTUBER,,,ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642103,การดำรงชีพในสังคมดิจิทัล,LIVING IN DIGITAL SOCIETY,,,ocr125;ocr170;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642106,เล่าเรื่องการเดินทางแบบดิจิทัล,DIGITAL STORYTELLING IN JOURNEY,,,ocr125;ocr171;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642107,การผลิตสื่อดิจิทัล,DIGITAL MEDIA PRODUCTION,,,ocr126;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642108,เทคโนโลยีการถ่ายภาพดิจิทัล,DIGITAL PHOTOGRAPHY TECHNOLOGY,,,ocr126
หมวดศึกษาทั่วไป (general_education),AIT,90642109,การออกแบบอินโฟกราฟิก,INFOGRAPHIC DESIGN,,,ocr126;ocr172;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642110,สนุกกับวิทยาศาสตร์ข้อมูล,FUN WITH DATA SCIENCE,,,ocr126;ocr172;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642112,สนุกกับปัญญาประดิษฐ์,FUN WITH AI,,,ocr173;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642113,หุ่นยนต์และปัญญาประดิษฐ์,ROBOTICS AND AI,,,ocr173;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642114,ฟาร์มอัจฉริยะ,SMART FARMING,,,ocr173;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642115,เทคโนโลยีสีเขียวและพลังงานทดแทน,GREEN TECHNOLOGY AND ALTERNATIVE ENERGY,,,ocr174
หมวดศึกษาทั่วไป (general_education),AIT,90642116,เมืองอัจฉริยะและนวัตกรรมเมือง,SMART CITY AND INNOVATION,,,ocr174;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642117,ทักษะการรู้สารสนเทศแห่งศตวรรษที่ 21,INFORMATION LITERACY SKILLS FOR THE 21st CENTURY,,,ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642118,โปรแกรมคอมพิวเตอร์ประยุกต์ทางธุรกิจ,APPLICATION SOFTWARE FOR BUSSINESS,,,ocr175
หมวดศึกษาทั่วไป (general_education),AIT,90642120,เอ็กเซลเพื่อความเป็นมืออาชีพ,FROM EXCEL TO EXCELLENT,,,ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642122,การใช้แอพลิเคชัน ไมโครคอมพิวเตอร์,INTRODUCTION TO MICROCOMPUTER APPLICATION,,,ocr126;ocr175;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642123,เทคโนโลยี คอมพิวเตอร์ดนตรี,TECHNOLOGY IN MUSICAL SEQUENCING,,,ocr126;ocr176
หมวดศึกษาทั่วไป (general_education),AIT,90642124,เทคโนโลยีและนวัตกรรมทางวิทยาศาสตร์สำหรับ SDGs,SCIENCE TECHNOLOGY AND SCIENCE INNOVATION FOR SDGS,,,ocr127;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642125,การดำรงชีวิตท่ามกลางภัยพิบัติและวิกฤตในอนาคต,LIVING IN FUTURE DISASTER AND CRISIS,,,ocr127;ocr176;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642126,วิชาเอาตัวรอด,SURVIVORS,,,ocr127;ocr175;ocr177
หมวดศึกษาทั่วไป (general_education),AIT,90642127,รักษ์โลก,THINK EARTH,,,ocr127;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642128,นิเวศวิทยาและการรักษาสิ่งแวดล้อม,"ECOLOGY, CONSERVATION AND ENVIRONMENTALISM",,,ocr127;ocr177
หมวดศึกษาทั่วไป (general_education),AIT,90642129,การท่องเที่ยวทางเลือก,ALTERNATIVE TOURISM,,,ocr127;ocr178;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642130,การท่องเที่ี่ยวเชิงกีฬา,SPORTS TOURISM,,,ocr127;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642131,วัฒนธรรมไทยกับการท่องเที่ยว,THAI CULTURE AND TOURISM,,,ocr178
หมวดศึกษาทั่วไป (general_education),AIT,90642134,แผ่นดินพระจอมเกล้าฯศึกษา,KING MONGKUT'S REIGN STUDY,,,ocr179
หมวดศึกษาทั่วไป (general_education),AIT,90642135,ปรัชญาเศรษฐกิจพอเพียง,PHILOSOPHY OF SUFFICIENCY ECONOMY,,,ocr180
หมวดศึกษาทั่วไป (general_education),AIT,90642136,จริยศาสตร์และสุนทรียศาสตร์,ETHICS AND AESTHETICS,,,ocr180
หมวดศึกษาทั่วไป (general_education),AIT,90642137,ดูละครแล้วย้อนตัว,SERIES IN DAILY LIFE,,,ocr188;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642138,สมาธิเพื่อพัฒนาชีวิต,MEDITATION FOR LIFE DEVELOPMENT,,,ocr181
หมวดศึกษาทั่วไป (general_education),AIT,90642140,ภูมิคุุ้มกันทางใจ,IMMUNITY OF MIND,,,ocr127;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642142,จิตวิทยาสำหรับสื่อสาร,PSYCHOLOGY IN COMMUNICATION,,,ocr128;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642143,ชีวิตออกแบบได้,DESIGNING YOUR LIFE,,,ocr128;ocr182
หมวดศึกษาทั่วไป (general_education),AIT,90642144,กระจกส่องใจ,MAGIC MIRROR,,,ocr128;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642145,พลังแห่งบุคลิกภาพ,POWER OF PERSONALITY,,,ocr128
หมวดศึกษาทั่วไป (general_education),AIT,90642146,เปลี่ยนความคิด ชีวิตเปลี่ยน,POWER OF CHANGE,,,ocr128;ocr182;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642147,ทักษะแห่งความสุข,HAPPINESS SKILLS,,,ocr128;ocr183;ocr242
หมวดศึกษาทั่วไป (general_education),AIT,90642148,ศิลปะการพัฒนาอารมณ์,ARTS OF EMOTION DEVELOPMENT,,,ocr183;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642149,ศิลปะการสร้างสรรค์เพื่อพัฒนาอารมณ์และจิตวิญญาณ,IMAGINATIVE ART,,,ocr128;ocr183;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642150,ศิลปะในชีวิตประจำวัน,ART IN EVERYDAY LIFE,,,ocr184;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642151,มนุษย์กับศิลปะ,MAN AND ART,,,ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642152,ปันสุข,JOY OF SHARING,,,ocr184;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642153,ความเข้าใจในพฤติกรรมมนุษย์,UNDERSTANDING HUMAN BEHAVIOR,,,ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642154,ล้มให้เป็น,FAIL-ABLE,,,ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642156,ฮวงจุ้ย,FENG SHUI,,,ocr185;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642157,โหราศาสตร์ไทย,THAI ASTROLOGY,,,ocr128;ocr186;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90642158,มุมมองของวิทยาศาสตร์และเทคโนโลยีร่วมสมัย,COMTEMPORARY SCIENCE AND TECHNOLOGY,,,ocr128
หมวดศึกษาทั่วไป (general_education),AIT,90642159,จิตวิทยาเบื้องต้น,INTRODUCTION TO PSYCHOLOGY,,,ocr129;ocr186;ocr243
หมวดศึกษาทั่วไป (general_education),AIT,90643001,ปฎิบัติงานตามทักษะด้านการจัดการ 1,PRACTICE UNDER MANAGEMENT SKILL 1,,,ocr196;ocr244
หมวดศึกษาทั่วไป (general_education),AIT,90643002,ปฎิบัติงานตามทักษะด้านการจัดการ 2,PRACTICE UNDER MANAGEMENT SKILL 2,,,ocr131;ocr197
หมวดศึกษาทั่วไป (general_education),AIT,90643005,นักเปลี่ยนโลก,THE DISRUPTOR,,,ocr197;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643006,การจัดการและผู้นำสมัยใหม่,MODERN MANAGEMENT AND LEADERSHIP,,,ocr198
หมวดศึกษาทั่วไป (general_education),AIT,90643007,ภาวะผู้นำสำหรับคนรุ่นใหม่,NEXT GEN LEADERSHIP,,,ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643008,ศาสตร์การต่อรอง,SCIENCE OF NEGOTIATION,,,ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643010,การตลาดร่วมสมัย,CONTEMPORARY MARKETING,,,ocr131;ocr199;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643012,การทำงานเป็นทีม,TEAMWORK,,,ocr245;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90643013,การจัดการเชิงอุตสาหกรรม,INDUSTRIAL MANAGEMENT,,,ocr199
หมวดศึกษาทั่วไป (general_education),AIT,90643014,ความรู้ทั่วไปเกี่ยวกับธุรกิจ,GENERAL BUSINESS,,,ocr131;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643015,การบัญชีทางธุรกิจสำหรับคนรุ่นใหม่,BUSINESS ACCOUNTING FOR NEW GEN,,,ocr132;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643016,สนุกกับธุรกิจออนไลน์,FUN WITH ONLINE BUSINESS,,,ocr132;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643018,ธุรกิจระหว่างประเทศ,INTERNATIONAL BUSINESS,,,ocr132;ocr201;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643019,เศรษฐศาสตร์กับการเป็นผู้ประกอบการ,ECONOMICS AND ENTREPRENEURSHIP,,,ocr132
หมวดศึกษาทั่วไป (general_education),AIT,90643020,นักพัฒนาธุรกิจสร้างสรรค์,INNOVATIVE ENTREPRENEURS,,,ocr201;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643021,ผู้ประกอบการสมัยใหม่,MODERN ENTREPRENEURS,,,ocr202
หมวดศึกษาทั่วไป (general_education),AIT,90643022,ผู้ประกอบการทางสังคม,SOCIAL ENTREPRENEURS,,,ocr132
หมวดศึกษาทั่วไป (general_education),AIT,90643024,ฟาร์มสุข,HAPPINESS FARMS,,,ocr132
หมวดศึกษาทั่วไป (general_education),AIT,90643025,เส้นทางสู่ IPO,ROAD TO IPO,,,ocr203
หมวดศึกษาทั่วไป (general_education),AIT,90643026,การวางแผนเพื่อการลงทุน,INVESTMENT PLANNING,,,ocr203;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643027,มนุษย์ เงิน และคณิตศาสตร์,"MAN, MONEY AND MATH",,,ocr204
หมวดศึกษาทั่วไป (general_education),AIT,90643029,เศรษฐกิจดิจิทัล,DIGITAL ECONOMY,,,ocr204;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643030,เศรษศาสตร์ทั่ไป และการศึกษาความเป็นไปได้ของโครงการ,GENERAL ECONOMICS AND PROJECT FEASIBILITY STUDY,,,ocr132;ocr205;ocr245
หมวดศึกษาทั่วไป (general_education),AIT,90643031,วิถีชีวิตตามแนวคิดเศรษฐกิจหมุนเวียนในศตวรรษที่ 21,CIRCULAR ECONOMIC LIFESTYLE FOR 21st CENTURY,,,ocr132;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90643032,ปักหมุดเศรษฐกิจ,BCG ECONOMY IN ACTION,,,ocr133;ocr199;ocr206;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90643034,การจัดการกับความคิดสร้างสรรค์,MANAGEMENT AND CREATIVITY,,,ocr133;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90643035,การจัดการความรู้เพื่อการพัฒนานวัตกรรม,KNOWLEDGE MANAGEMENT FOR INNOVATION DEVELOPMENT,,,ocr133;ocr206
หมวดศึกษาทั่วไป (general_education),AIT,90643036,การจัดการความรู้เพื่อการบริหารโครงการ,KNOWLEDGE MANAGEMENT FOR PROJECT MANAGEMENT,,,ocr133;ocr207
หมวดศึกษาทั่วไป (general_education),AIT,90643037,การบัริหารงานภาครัฐและนโยบายสาธารณะในศตวรรษที่ 21,PUBLIC ADMINISTRATION AND PUBLIC POLICY IN THE 21st CENTURY,,,ocr207;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90643038,ศัลยกรรมชีวิต,REBRANDING,,,ocr208;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644001,ปฎิบัติงานตามทักษะด้านการสื่อสาร 1,PRACTICE UNDER LANGUAGE AND COMMUNICATION SKILLS 1,,,ocr133
หมวดศึกษาทั่วไป (general_education),AIT,90644002,ปฎิบัติงานตามทักษะด้านการสื่อสาร 2,PRACTICE UNDER LANGUAGE AND COMMUNICATION SKILLS 2,,,ocr133;ocr211;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644003,ปฎิบัติงานตามทักษะด้านการสื่อสาร 3,PRACTICE UNDER LANGUAGE AND COMMUNICATION SKILLS 3,,,ocr134;ocr211;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644009,การออกเสียงภาษาอังกฤษเบื้องต้น,BASIC ENGLISH PRONUNCIATION,,,ocr134
หมวดศึกษาทั่วไป (general_education),AIT,90644010,การพัฒนาทักษะการอ่านและการเขียนภาษาอังกฤษ,DEVELOPMENT OF READING AND WRITING SKILLS IN ENGLISH,,,ocr134
หมวดศึกษาทั่วไป (general_education),AIT,90644011,ภาษาอังกฤษเชิงวิชาการ,ENGLISH FOR ACADEMIC PURPOSES,,,ocr134;ocr212;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644012,ภาษาอังกฤษเพื่อการสื่อสาร,ENGLISH FOR COMMUNICATION,,,ocr212
หมวดศึกษาทั่วไป (general_education),AIT,90644013,การรเขียนภาษาอังกฤษเพื่อการสื่อสาร,ENGLISH FOR COMMUNICATIVE WRITING,,,ocr134;ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644014,ภาษาอังกฤษเพื่อการสื่อสารทางวิชาการ,ENGLISH FOR PROFESSIONAL COMMUNICATION,,,ocr212
หมวดศึกษาทั่วไป (general_education),AIT,90644015,ภาษาอังกฤษเพื่อการศึกษาต่อ,ENGLISH FOR FURTHER STUDIES,,,ocr213
หมวดศึกษาทั่วไป (general_education),AIT,90644016,อังกฤษเพื่ออุสาหกรรม,ENGLISH FOR INDUSTRY,,,ocr246
หมวดศึกษาทั่วไป (general_education),AIT,90644017,ภาษาอังกฤษสำหรับธุรกิจ,ENGLISH FOR BUSINESS,,,ocr247
หมวดศึกษาทั่วไป (general_education),AIT,90644018,ภาษาอังกฤษเพื่อการตลาด,ENGLISH FOR MARKETING,,,ocr214;ocr247
หมวดศึกษาทั่วไป (general_education),AIT,90644019,ภาษาอังกฤษเพื่อการจัดการ,ENGLISH FOR MANAGEMENT,,,ocr121
หมวดศึกษาทั่วไป (general_education),AIT,90644020,ภาษาอังกฤษเพื่อความเข้าใจข่าวสาร,ENGLISH FOR MADIA,,,ocr134
หมวดศึกษาทั่วไป (general_education),AIT,90644022,ภาษาอังกฤษสำหรับมืออาชีพ,ENGLISH FOR PROFESSIONAL PURPOSES,,,ocr214;ocr247
หมวดศึกษาทั่วไป (general_education),AIT,90644023,ภาษาอังกฤษเพื่อเตรียมตัวทำงาน,ENGLISH FOR WORK PREPATION,,,ocr134;ocr215
หมวดศึกษาทั่วไป (general_education),AIT,90644024,ภาษาอังกฤษเพื่อการท่องเที่ยวและการเดินทาง,ENGLISH FOR TOURISM AND TRAVELLING,,,ocr134
หมวดศึกษาทั่วไป (general_education),AIT,90644025,ภาษาอังกฤษเพื่อการสื่อสารในงานสถาปัตยกรรม,ENGLISH FOR ARCHITECTURAL ARTS & DESIGN COMMUNICATION,,,ocr135;ocr215;ocr247
หมวดศึกษาทั่วไป (general_education),AIT,90644026,ภาษาอังกฤษเพื่อการนำเสนอในงานสถาปัตยกรรม,ENGLISH FOR ARCHITECTURAL ARTS & DESIGN PRESENTATION,,,ocr135;ocr136;ocr216;ocr247
